Lat,Lon,Value,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42.3736832347791,-71.0999408395997,19.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42.3736302311388,-71.0995161873091,14.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42.3692729611874,-71.09738004968,16.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42.3691856097744,-71.097255952078,14.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42.3690725440808,-71.0970923200404,23.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42.3689634958855,-71.0969314464698,14.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42.3692447028087,-71.0966446702504,1.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42.3799221189679,-71.1512326839152,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42.3799557109053,-71.1513838665944,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42.3799653534686,-71.1514457638237,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42.3799905851818,-71.151591572897,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42.3800012400608,-71.1516839575183,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42.3758631027475,-71.1056192234331,23.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42.3800183994264,-71.1517741654652,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42.3803411063536,-71.1527466502521,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42.3803852493599,-71.152807603376,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42.3804379570221,-71.1528812728656,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42.3804976549917,-71.152965412012,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42.3805348766321,-71.1530299935666,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42.378782174601,-71.1509007851803,19.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42.3787766672808,-71.1509699194646,4.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
