LAT_DEG,LONG_DEG,As
23.744,89.059,35
23.775,89.061,0.5
23.793,89.104,1.3
23.753,89.127,61.6
23.84,89.102,1.2
23.844,89.155,0.6
23.903,89.121,42.3
23.903,89.121,18.3
23.924,88.969,57.1
23.892,88.935,1030
23.84,88.913,174
22.694,90.369,0.5
22.72,90.349,0.5
22.713,90.297,248
22.67,90.325,227
22.997,90.228,359
22.996,90.213,163
22.965,90.199,44.7
22.972,90.225,3.3
22.964,90.262,2.4
22.939,90.24,290
22.929,90.242,69.4
22.899,90.3,8.6
22.908,90.251,1
22.532,90.342,26
22.507,90.346,0.5
22.566,90.338,137
22.589,90.35,0.5
22.518,90.309,0.9
22.511,90.283,2
22.505,90.268,0.6
22.496,90.246,1.6
22.774,90.159,389
22.786,90.183,2.7
22.798,90.187,149
22.808,90.187,10.8
22.789,90.152,23.4
22.806,90.127,0.5
22.282,90.568,0.5
22.284,90.551,0.5
22.267,90.533,0.5
22.276,90.546,0.5
22.302,90.577,0.9
22.971,90.153,107
23.015,90.166,6
23.014,90.182,0.5
22.989,90.135,319
22.986,90.136,2
22.966,90.084,0.8
22.965,90.086,207
22.931,90.199,80.6
22.961,90.191,248
22.821,90.252,59.2
22.875,90.267,0.5
22.881,90.246,257
22.892,90.199,8.4
22.892,90.2,23.4
22.835,90.213,21.4
22.836,90.212,0.9
22.373,90.585,5.2
22.378,90.544,1.8
22.52,90.52,0.5
22.475,90.559,1.9
22.432,90.558,0.5
22.427,90.457,1.2
22.357,90.352,11.8
22.359,90.351,0.5
22.375,90.514,1
22.463,90.344,1
22.433,90.442,0.5
22.432,90.335,0.5
22.36,90.296,2.4
22.351,90.356,1.3
22.1,90.016,0.5
22.116,90.003,0.5
22.181,90.02,0.5
22.185,89.993,0.5
22.172,90.18,1
22.179,90.17,2.1
22.626,90.061,0.5
22.638,90.078,7.2
22.604,90.082,26.4
22.575,90.057,11.6
22.577,90.053,2.3
22.822,90.433,1.9
22.907,90.379,1
22.911,90.411,1.7
22.918,90.415,0.7
22.953,90.415,0.7
22.966,90.342,1.6
22.992,90.339,0.5
22.993,90.34,667
22.733,90.442,3.4
22.706,90.395,0.8
22.325,90.192,0.8
22.302,90.192,0.9
22.279,90.181,0.5
22.37,90.222,0.5
22.356,90.259,0.5
22.358,90.342,2.7
22.35,90.347,1.3
21.893,90.141,6.5
21.816,90.126,12.9
